Label,Notation,Parent Notation,Sort Priority,Description
east midlands,east-midlands,,0,
east of england,east-of-england,,1,
east scotland,east-scotland,,2,
london,london,,3,
north east england,north-east-england,,4,
north scotland,north-scotland,,5,
north west england,north-west-england,,6,
northern ireland,northern-ireland,,7,
south east england,south-east-england,,8,
south west england,south-west-england,,9,
wales,wales,,10,
west midlands,west-midlands,,11,
west scotland,west-scotland,,12,
yorkshire and humber,yorkshire-and-humber,,13,
